epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,2568.67,0.73689,0.57166,1.06947,0.96068,0.93247,0.98365,0.76714,0.8516,0.43732,1.16016,0.000191875,0.000191875,0.000191875
37,2607.46,0.70946,0.5389,1.05363,0.93387,0.97347,0.9816,0.76523,0.84611,0.41651,1.1671,0.0001795,0.0001795,0.0001795
38,2645.99,0.73557,0.5507,1.06923,0.96548,0.9432,0.98239,0.76334,0.84656,0.43159,1.164,0.000167125,0.000167125,0.000167125
39,2683.87,0.71462,0.53738,1.05998,0.97486,0.95229,0.98213,0.7663,0.85183,0.4207,1.16484,0.00015475,0.00015475,0.00015475
40,2723.54,0.70697,0.5354,1.05067,0.96874,0.96152,0.98821,0.76844,0.84427,0.40442,1.15866,0.000142375,0.000142375,0.000142375
41,2763.4,0.61121,0.39728,1.00519,0.96261,0.9579,0.98474,0.76744,0.83658,0.40788,1.16866,0.00013,0.00013,0.00013
42,2800.94,0.58759,0.36249,0.98845,0.98075,0.95525,0.98657,0.76782,0.85901,0.40897,1.17495,0.000117625,0.000117625,0.000117625
43,2836.84,0.57721,0.35261,0.99037,0.97543,0.95425,0.98501,0.77146,0.83816,0.40409,1.16749,0.00010525,0.00010525,0.00010525
44,2874.39,0.56974,0.3437,0.97479,0.97701,0.96053,0.98755,0.77431,0.84633,0.39891,1.166,9.2875e-05,9.2875e-05,9.2875e-05
45,2911.61,0.5579,0.33194,0.97295,0.97236,0.96719,0.98495,0.77541,0.84453,0.39538,1.16857,8.05e-05,8.05e-05,8.05e-05
46,2947.28,0.55036,0.33464,0.96272,0.9607,0.96702,0.98403,0.77479,0.83606,0.38793,1.1736,6.8125e-05,6.8125e-05,6.8125e-05
47,2984.8,0.53894,0.32631,0.9649,0.96441,0.96891,0.98359,0.7719,0.84291,0.3884,1.17236,5.575e-05,5.575e-05,5.575e-05
48,3022.19,0.52778,0.31998,0.95679,0.95224,0.96837,0.9849,0.76919,0.84375,0.39251,1.18319,4.3375e-05,4.3375e-05,4.3375e-05
49,3058.51,0.52322,0.31157,0.94591,0.95912,0.97094,0.98511,0.7773,0.83273,0.3842,1.17408,3.1e-05,3.1e-05,3.1e-05
50,3096.43,0.5151,0.30948,0.94639,0.97235,0.96691,0.98534,0.7797,0.82968,0.37879,1.17249,1.8625e-05,1.8625e-05,1.8625e-05
